word_labels,sentence,biased_words,biased_labels,masked_sentence,unmasked_words,unmasked_words_score_1,unmasked_words_score_2,unmasked_words_score_3,unmasked_words_score_4,unmasked_words_score_5
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","applicants will be self-confident, passionate about sales . have strong analytical skills and be committed to creating new business opportunities.","self-confident, analytical committed","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",applicants will be [MASK] passionate about sales . have strong [MASK] skills and be [MASK] to creating new business opportunities.,"very, management, committed","very, management, committed","extremely, leadership, dedicated","particularly, business, open","most, marketing, sensitive","more, technical, responsive"
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","they will be self-sufficient, concerned about sales . have strong analytical ability and be committed to creating new business opportunities.","self-sufficient, analytical committed","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",they will be [MASK] concerned about sales . have strong [MASK] ability and be [MASK] to creating new business opportunities.,"more, leadership, committed","more, leadership, committed","very, management, dedicated","less, marketing, open","most, organizational, sensitive","especially, executive, devoted"
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","managers must be very passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.",analytical committed,"Behavioural Stereotypes, Behavioural Stereotypes","managers must be very passionate about sales marketing, have strong [MASK] skills and be [MASK] to creating new business opportunities.","leadership, committed","leadership, committed","management, dedicated","communication, open","technical, devoted","organizational, sensitive"
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","staff will be taken on about sales marketing, have strong analytical skills and be committed to creating new business opportunities.",analytical committed,"Behavioural Stereotypes, Behavioural Stereotypes","staff will be taken on about sales marketing, have strong [MASK] skills and be [MASK] to creating new business opportunities.","management, committed","management, committed","leadership, dedicated","communication, open","marketing, used","sales, exposed"
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",You should be extremely passionate about entrepreneurship and have good analytical skills and be committed to creating new business opportunities.,analytical committed,"Behavioural Stereotypes, Behavioural Stereotypes",You should be extremely passionate about entrepreneurship and have good [MASK] skills and be [MASK] to creating new business opportunities.,"management, committed","management, committed","leadership, dedicated","business, open","technical, devoted","communication, used"
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",while working for a self-confident brand Development platform (Sales) to actively seek out different resellers in San Francisco area.,self-confident,Behavioural Stereotypes,while working for a [MASK] brand Development platform (Sales) to actively seek out different resellers in San Francisco area.,new,new,digital,national,different,global
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",or looking for a individualistic Business Development strategy (Sales) to actively seek out different resellers in the Francisco area.,individualistic,Behavioural Stereotypes,or looking for a [MASK] Business Development strategy (Sales) to actively seek out different resellers in the Francisco area.,new,new,better,successful,specific,unique
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O","as an employee at microsoft you'll be responsible for building world-class, advanced developer tools used by our customers every day.",responsible,Behavioural Stereotypes,"as an employee at microsoft you'll be [MASK] for building world-class, advanced developer tools used by our customers every day.",responsible,responsible,known,famous,credited,renowned
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",Responsible for efficient and safe use of hand tools.,Responsible,Behavioural Stereotypes,[MASK] for efficient and safe use of hand tools.,support,support,tools,standards,designed,equipment
"O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","In addition to leading your business successfully, your responsibilities include customer consultation, high-level architecture and interior design as well as sales support.",leading responsibilities support.,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","In addition to [MASK] your business successfully, your [MASK] include customer consultation, high-level architecture and interior design as well as sales [MASK]","growing, services, .","growing, services, .","running, activities, ;","operating, skills, !","managing, responsibilities, ?","developing, programs, |"
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","with addition to executing your projects successfully, your responsibilities include customer consultation, high-level architecture and service design as well as sales support.",responsibilities support.,"Behavioural Stereotypes, Behavioural Stereotypes","with addition to executing your projects successfully, your [MASK] include customer consultation, high-level architecture and service design as well as sales [MASK]","responsibilities, .","responsibilities, .","services, ;","activities, !","projects, ?","skills, |"
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",we are an established digital marketing industry that is looking for an ambitious Developer that will help us develop an advertising solution in the marketing automation space.,ambitious,Behavioural Stereotypes,we are an established digital marketing industry that is looking for an [MASK] Developer that will help us develop an advertising solution in the marketing automation space.,advertising,advertising,application,app,independent,ad
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",it is necessary a dedicated and ambitious food development director to join our team.,ambitious,Behavioural Stereotypes,it is necessary a dedicated and [MASK] food development director to join our team.,experienced,experienced,capable,dedicated,able,qualified
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",for this role we will be competing with candidates from england and scotland so we try to compete hard for this role by being very competitive with your hourly rate.,competing competitive,"Behavioural Stereotypes, Behavioural Stereotypes",for this role we will be [MASK] with candidates from england and scotland so we try to compete hard for this role by being very [MASK] with your hourly rate.,"working, careful","working, careful","competing, familiar","paired, concerned","filled, impressed","dealing, generous"
"O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O","they will support agencies to develop their campaigns to their needs with proactive support, advice and expertise.","support agencies support, advice","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",they will [MASK] [MASK] to develop their campaigns to their needs with proactive [MASK] [MASK] and expertise.,"continue, continue, training, training","continue, continue, training, training","also, strive, leadership, leadership","have, try, planning, action","be, work, tools, approach","need, attempt, knowledge, planning"
"O,O,O,O,O,O,O,O,O,O,O","Should be possible to run WebMethods end to end , ;",,,"Should be possible to run WebMethods end to end , ;",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",students have strong motivation to work with complex problems free of biases and independently.,independently.,Behavioural Stereotypes,students have strong motivation to work with complex problems free of biases and [MASK],.,.,;,|,!,?
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",Works independently with minimal supervision once tasks or tasks are outlined and .,independently,Behavioural Stereotypes,Works [MASK] with minimal supervision once tasks or tasks are outlined and .,best,best,well,only,effectively,together
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",The potential worker should be self-motivated and aware of work independently but just as often collaborating with others.,independently,Behavioural Stereotypes,The potential worker should be self-motivated and aware of work [MASK] but just as often collaborating with others.,",",",",experience,activities,opportunities,conditions
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",in optimizing your work for maximum results      You have a deep respect for deadlines and accountability      You’re independent and take initiative.,,,in optimizing your work for maximum results You have a deep respect for deadlines and accountability You’re independent and take initiative.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O",You'll get your own job so you'll need to be independent and self-motivated.,independent,Behavioural Stereotypes,You'll get your own job so you'll need to be [MASK] and self-motivated.,confident,confident,creative,independent,smart,professional
"Behavioural Stereotypes,O,O,O,O,O,O",Leads all organizations that regard risk .,Leads,Behavioural Stereotypes,[MASK] all organizations that regard risk .,and,and,to,for,including,of
"Behavioural Stereotypes,O,O,O,O,O,O,O",Leads all departments that have quality management.,Leads,Behavioural Stereotypes,[MASK] all departments that have quality management.,in,in,for,and,consider,to
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","The successful Candidate Must Possess Solid Problem Solving, Analytical, and Written And Oral Communication .","Analytical,",Behavioural Stereotypes,"The successful Candidate Must Possess Solid Problem Solving, [MASK] and Written And Oral Communication .",communication,communication,reasoning,thinking,comprehension,skills
"O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O",strong leadership and leadership qualities (ability to foster a cooperative work environment).,leadership leadership cooperative,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",strong [MASK] and [MASK] qualities (ability to foster a [MASK] work environment).,"personality, leadership, healthy","personality, leadership, healthy","leadership, social, positive","physical, organizational, safe","personal, personality, good","social, communication, comfortable"
"O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O",increased interpersonal and leadership abilities (ability to foster a cooperative work environment).,interpersonal leadership cooperative,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",increased [MASK] and [MASK] abilities (ability to foster a [MASK] work environment).,"cognitive, communication, better","cognitive, communication, better","learning, social, healthy","communication, cognitive, safe","social, leadership, positive","physical, learning, comfortable"
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Balancing creative skills with interpersonal skills you will demonstrate the ability to work with the team and to translate concepts to visual expression.,interpersonal,Behavioural Stereotypes,Balancing creative skills with [MASK] skills you will demonstrate the ability to work with the team and to translate concepts to visual expression.,technical,technical,practical,visual,social,communication
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",We're looking for a results-driven platform and Representative (Sales) to actively seek out different resellers in San Francisco area.,results-driven actively,"Behavioural Stereotypes, Behavioural Stereotypes",We're looking for a [MASK] platform and Representative (Sales) to [MASK] seek out different resellers in San Francisco area.,"new, help","new, help","unique, quickly","single, actively","common, go","digital, constantly"
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",We're working for a results-driven Business - strategy (Sales) to actively seek out different resellers in San Francisco area.,results-driven actively,"Behavioural Stereotypes, Behavioural Stereotypes",We're working for a [MASK] Business - strategy (Sales) to [MASK] seek out different resellers in San Francisco area.,"new, help","new, help","common, constantly","unique, actively","unified, quickly","different, successfully"
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",Demonstrates enhanced radio listening abilities and indicates patient needs to confirm understanding.,understanding.,Behavioural Stereotypes,Demonstrates enhanced radio listening abilities and indicates patient needs to confirm [MASK],.,.,;,!,|,?
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","you will be a highly motivated, committed, fast learner looking to take the next step in your career.","committed,",Behavioural Stereotypes,"you will be a highly motivated, [MASK] fast learner looking to take the next step in your career.",very,very,and,extremely,a,incredibly
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",we are looking for a proactive and experienced managing Director who will have the end-to-end experience for our Seller Platform.,proactive,Behavioural Stereotypes,we are looking for a [MASK] and experienced managing Director who will have the end-to-end experience for our Seller Platform.,young,young,dedicated,new,strong,capable
